id,gender,birthdate,maiden_name,lname,fname,address,city,state,zip,phone,email,cc_type,cc_number,cc_cvc,cc_expiredate,blood_type,weight_kg,height_cm,allergies,medical_conditions,medications,doctor_name,hospital_name,insurance_provider
739-52-5210,m,1981-04-03,Hall,Anderson,Kelly,382 Hanson Place,Guerrerochester,WY,14662,+1-466-017-0593x9670,mike22@parker-rojas.com,v,4428 5290 7667 6414,194,2024/03/08,B+,107.2,172.1,None,Hypertension,Ibuprofen,Dr. Fritz,St. Mary's Clinic,Medicare
803-03-2918,m,1966-06-27,Goodwin,Potts,Sarah,35648 Allison Route Suite 366,Gibsonside,CT,3172,973.115.2188x23361,rhorton@hotmail.com,a,4704 8409 3698 4111,964,2016/07/09,O-,109.7,182.3,Peanuts,Hypertension,Aspirin,Dr. Fox,General Hospital,Aetna
291-63-1883,m,1943-03-28,Lopez,Rodriguez,Kathy,6972 Stephanie Forge,Walkerburgh,IL,71971,+1-477-397-0625x4281,johnstontravis@hotmail.com,v,6606 9772 4506 8497,314,2016/06/03,AB+,115.7,174.7,Dairy,Arthritis,Ibuprofen,Dr. Cross,General Hospital,Medicare
117-92-1567,m,1978-10-30,Ramirez,Carter,Katie,46291 Kyle Parks,South Tammytown,NC,35074,473.762.2299,robertriley@shaw-yu.com,m,1825 1413 7854 2418,714,2027/04/27,B-,56.0,181.0,Shellfish,Heart Disease,Aspirin,Dr. Hunter,City Medical Center,Medicare
265-52-3965,m,1936-05-09,Simmons,Harris,Martin,853 Larson Viaduct,Territon,RI,13312,993.282.3371x6709,garciajasmine@hotmail.com,v,9733 2413 9228 5290,783,2019/10/31,O-,77.0,177.2,Shellfish,Hypertension,Metformin,Dr. Rios,St. Mary's Clinic,Medicare
288-46-5212,m,1979-08-19,Mccoy,Gonzalez,Sara,341 Alvarez Alley Suite 634,Amandaland,NE,28332,+1-040-707-9369,lindathomas@gmail.com,v,7196 6529 6436 5337,562,2018/07/10,O-,55.0,187.0,Shellfish,Diabetes,Lisinopril,Dr. Chavez,St. Mary's Clinic,UnitedHealth
041-44-0177,m,1973-10-11,Aguilar,Clark,Robert,44693 Michelle Mill Apt. 947,Wernerside,ND,29637,001-065-402-5998,halejeffery@hotmail.com,m,4539 2317 7554 4178,556,2028/05/22,B+,64.8,185.3,Pollen,Hypertension,Lisinopril,Dr. Martinez,City Medical Center,Aetna
142-67-6166,m,1980-06-02,Young,Sampson,Kimberly,67333 Sean Island,Port Kenneth,AR,23832,001-496-689-9238x585,anthonysmith@gmail.com,m,1727 1386 4133 6983,885,2023/04/20,AB-,66.1,176.7,Dairy,Asthma,None,Dr. Haley,City Medical Center,Medicare
496-53-4336,f,1996-10-29,Wall,Barton,Robert,1335 Mckenzie Overpass,Richardburgh,MA,19378,001-875-287-8747x32643,kevinvasquez@hotmail.com,m,9855 5299 1104 6462,543,2029/11/07,AB+,82.8,183.9,Shellfish,None,Metformin,Dr. Rowe,City Medical Center,Medicare
613-82-2809,f,2003-02-07,Bender,Dudley,Jennifer,55196 Morton Shore Apt. 691,Kempborough,KS,92293,4153548137,roybuchanan@mccann.com,a,1182 2893 9145 9727,243,2029/02/03,A-,68.8,193.7,Peanuts,None,None,Dr. Garcia,General Hospital,None
887-11-7337,m,1976-06-13,Tran,Morris,Jason,115 Morrison Summit Suite 275,Lake Adam,TX,47370,+1-452-149-7672,emilyburnett@yahoo.com,a,7345 8112 9727 2684,407,2022/02/06,O-,57.1,171.6,Peanuts,Diabetes,Lisinopril,Dr. Mccormick,General Hospital,UnitedHealth
338-52-3045,m,1995-03-18,Stephens,Hester,Ronald,3277 Johnson Mall,New Nancy,MA,84468,368-990-6574,qwheeler@robinson.com,v,3099 5668 9986 8314,414,2023/09/19,B-,61.7,170.6,Shellfish,Heart Disease,None,Dr. Jones,City Medical Center,Medicare
540-26-7400,m,1941-07-21,Brown,Edwards,Linda,9151 Arroyo Plains Apt. 733,Brianville,GA,13574,219.989.8237x2242,victoriascott@howell.info,v,8272 3431 7222 6178,542,2026/10/12,AB-,60.3,188.2,Dust,None,Ibuprofen,Dr. Horton,St. Mary's Clinic,UnitedHealth
128-36-1053,f,1938-03-08,Richards,Woods,Emily,04090 Jason Turnpike,South Carrieview,NJ,99710,965-555-3566x90551,zharrell@houston.com,a,2789 3721 2307 5802,187,2021/07/28,AB-,118.1,179.1,Shellfish,Hypertension,Metformin,Dr. Snyder,General Hospital,Aetna
621-70-8364,f,2006-12-07,Snyder,Vincent,Jared,78016 Angela Crossing,Taylorland,DE,44423,+1-674-305-5881x1463,daniel19@gmail.com,m,2735 3995 6059 7288,945,2018/12/18,A-,103.2,153.6,Dust,Asthma,Aspirin,Dr. Phillips,City Medical Center,Aetna
805-31-5240,m,1974-04-06,Reed,Stephenson,David,14379 Kelly Forest Apt. 201,Port Johnborough,NJ,45133,165.787.2335x9876,andrewjohnson@gmail.com,a,6042 9392 2572 5571,715,2016/05/27,O-,117.7,194.6,None,Heart Disease,Ibuprofen,Dr. Fisher,General Hospital,Blue Cross
467-40-7662,f,1981-06-30,Johnson,Dean,Kimberly,940 King Brook,Shariland,LA,59183,(773)359-9225x5133,tinaschmitt@garcia-white.com,m,3613 2595 4691 5608,441,2023/03/01,B-,80.8,151.5,None,Heart Disease,Aspirin,Dr. Hood,General Hospital,None
462-65-1035,f,1958-07-19,Jordan,Hubbard,Randy,5934 Flores Springs,West Elizabeth,RI,65467,+1-799-632-3866,ashleybryant@yahoo.com,a,2038 2864 4612 4326,375,2015/11/02,AB+,69.5,187.4,Peanuts,Heart Disease,None,Dr. Scott,City Medical Center,Blue Cross
361-60-5498,f,1993-04-24,Skinner,Mercado,Larry,277 Johnson Rapids,East Linda,VT,53954,494.222.1660x952,cantrellchelsea@jones-roberts.com,a,6759 4032 8608 8206,499,2024/01/14,A+,105.9,187.9,Dairy,None,Lisinopril,Dr. Dodson,St. Mary's Clinic,UnitedHealth
286-59-0193,f,1998-03-11,Green,Smith,Calvin,92526 Craig Lakes,Heathermouth,NV,53946,+1-811-200-5655x53040,james93@hotmail.com,m,1846 7708 3479 9137,228,2019/07/18,B-,72.8,197.7,Pollen,Arthritis,Ibuprofen,Dr. Davis,St. Mary's Clinic,None
306-24-1579,m,1934-08-19,Lee,West,Angela,8917 Warren Village,Richardbury,CA,78092,+1-835-131-2000x84343,tgillespie@yahoo.com,a,2704 4448 1137 3589,457,2029/01/07,A-,71.0,152.7,Dairy,Heart Disease,Metformin,Dr. Smith,General Hospital,Medicare
883-49-8756,f,1983-12-05,Parks,Hutchinson,Henry,662 Herring Bridge Apt. 375,Adriennetown,MO,25284,001-838-621-9225x567,gregorysimmons@yahoo.com,v,1672 7280 7193 8793,379,2025/03/13,AB-,66.3,179.8,Peanuts,Diabetes,Aspirin,Dr. Yates,St. Mary's Clinic,None
219-21-8700,m,1958-03-13,White,Smith,Adam,82544 Callahan Road Suite 486,Wardfort,AL,10255,001-502-471-7357x5736,michael36@watson.com,v,6384 1171 5217 1382,314,2016/05/26,AB+,59.1,171.4,Peanuts,Hypertension,Ibuprofen,Dr. Carr,St. Mary's Clinic,None
237-77-3889,f,1952-02-26,Alvarez,Larsen,Cory,9255 Cassandra Walk Apt. 509,South Traci,AR,87901,101-561-6197,kristin98@taylor.com,m,6368 6908 8962 1080,967,2030/01/05,B-,68.0,166.5,Dairy,Arthritis,Lisinopril,Dr. Anderson,City Medical Center,Aetna
062-15-5574,m,2006-07-04,Garcia,Cook,Brandy,6183 Christie Harbor Suite 577,Charlesland,IN,76361,001-840-411-9771x680,jchambers@taylor.com,m,2865 3378 5509 3395,816,2025/05/12,A+,74.9,154.5,Pollen,Asthma,Metformin,Dr. Andrews,City Medical Center,Blue Cross
629-51-6627,f,1948-09-05,Nelson,Curry,Jill,768 Rivera Haven,Traceyberg,MI,15124,+1-730-717-8535x63309,lopezkari@todd.com,a,7215 9021 7364 6931,697,2017/09/30,A+,97.2,178.1,Peanuts,Hypertension,Metformin,Dr. Monroe,City Medical Center,Aetna
862-46-7069,m,1964-02-29,Robertson,Vasquez,William,656 Charles Loaf Apt. 622,North Victoriaborough,MS,1696,794-719-9038x035,melody89@blair-castro.org,v,4346 1577 2536 7372,437,2025/10/24,B+,54.4,174.0,Gluten,Diabetes,Aspirin,Dr. Parker,St. Mary's Clinic,Aetna
478-99-3733,f,1973-09-02,Campbell,Reyes,Nicholas,401 Garcia Roads Apt. 435,Hernandezburgh,CA,48035,083-563-0145x164,bgibson@hotmail.com,m,2821 3564 1841 2293,408,2024/02/18,B+,64.7,155.2,Gluten,Diabetes,Ibuprofen,Dr. Fleming,St. Mary's Clinic,Blue Cross
330-09-1943,f,1938-11-17,Martin,Costa,Lauren,310 Barnett Expressway Suite 776,Pattersonbury,WY,15644,104.341.0628x647,christopherkaiser@marquez.com,m,4046 9498 8877 3091,603,2022/04/02,O+,106.6,180.6,Pollen,Arthritis,Ibuprofen,Dr. Stewart,City Medical Center,Aetna
335-78-5903,f,1989-09-10,Merritt,Brooks,Sherri,025 Kelly Drive Apt. 193,Williamhaven,OR,93934,(369)026-1139x898,abbottallison@gmail.com,m,7815 2169 7987 5638,246,2015/07/26,A-,60.3,186.9,Peanuts,Hypertension,Metformin,Dr. Jenkins,St. Mary's Clinic,None
145-87-6605,m,1963-08-09,Thomas,Carroll,Angela,891 Gonzalez Trafficway,East Lindsaymouth,KY,96271,124.021.4099,laura21@davis-kim.com,a,5501 4644 8563 5264,620,2028/02/17,O-,74.0,188.4,Gluten,None,None,Dr. Medina,City Medical Center,UnitedHealth
581-21-2272,f,1939-09-29,Williams,Adams,Jason,704 Gilmore Gateway Suite 626,Reginaland,OR,21954,+1-526-903-0008x494,evelyn22@yahoo.com,m,5279 6988 1733 2560,987,2029/02/13,B-,110.5,195.3,None,Diabetes,Metformin,Dr. Norton,General Hospital,Medicare
426-68-0945,f,1985-04-19,Contreras,Coleman,Jeremy,66595 Harper Branch,Diazburgh,MA,29978,363.559.9806x69693,lealbert@gmail.com,a,8840 7444 7679 1755,635,2025/05/12,B-,60.8,170.5,Dust,Heart Disease,Lisinopril,Dr. Gomez,General Hospital,Medicare
828-69-3099,m,1961-10-10,Medina,Barrera,Jessica,40962 Thomas Port Apt. 259,Jameschester,DE,1227,001-985-327-2720x6675,coxbarbara@gmail.com,a,2016 3853 4623 9506,878,2022/09/19,O-,55.8,197.7,Peanuts,Asthma,Ibuprofen,Dr. Moore,St. Mary's Clinic,Aetna
835-48-8368,m,1989-04-19,Turner,Beltran,Robert,2868 Mark Ridge,West Robertport,WV,2888,+1-794-917-9060x8125,longeric@hotmail.com,a,4094 3914 7328 5223,384,2019/09/08,O+,83.9,193.3,Dust,Asthma,Aspirin,Dr. Bryant,St. Mary's Clinic,Blue Cross
733-75-9541,m,1935-02-28,Banks,Thompson,Robert,127 Romero Roads Apt. 575,North Ashley,NY,44159,+1-202-790-2329x6125,wrightrichard@daniels.net,m,4523 4398 9010 4312,815,2023/09/25,AB-,71.2,164.8,Shellfish,Diabetes,Ibuprofen,Dr. Adams,St. Mary's Clinic,None
659-90-5298,f,1939-04-17,Anderson,Clark,Lisa,1757 James Flat Apt. 888,Port Ryantown,PA,37595,750-241-3007,hbanks@hotmail.com,a,9559 5575 6688 3948,351,2025/04/15,AB-,89.4,158.0,Gluten,Heart Disease,Metformin,Dr. Noble,St. Mary's Clinic,Aetna
458-34-4104,f,1983-08-20,Jackson,Davis,Joseph,59344 Arnold Village Apt. 440,South Sandra,OK,88113,235-917-2576x446,kimberly98@yahoo.com,a,2307 5943 2296 7512,369,2024/12/12,O+,106.3,171.8,Peanuts,Hypertension,Lisinopril,Dr. Parker,General Hospital,None
883-07-5439,f,1951-02-01,Lloyd,Kim,Ricardo,5277 Glass Path Suite 161,Morrisonburgh,LA,42602,154-479-6275,acostarhonda@hotmail.com,v,8756 5150 1599 4131,392,2021/03/21,AB-,59.6,170.1,None,Asthma,None,Dr. Howard,City Medical Center,None
252-36-6126,m,1961-08-28,Tyler,Lopez,Sara,93704 Misty Forks,South Jacobborough,SD,10886,001-394-562-7214,jeremyvaughn@johnson-lawson.net,a,6623 3575 5528 3456,673,2016/06/18,B+,90.6,178.8,Pollen,Heart Disease,Ibuprofen,Dr. Robinson,General Hospital,Medicare
719-37-0777,m,1965-05-11,Briggs,White,Maxwell,39785 John Mill Suite 233,Nathanview,RI,86901,(086)750-1933,jason65@hotmail.com,a,3358 8218 2687 4352,165,2017/06/14,B-,85.4,179.2,None,Heart Disease,Metformin,Dr. Watson,City Medical Center,UnitedHealth
226-32-6129,m,1949-06-24,Foster,Marsh,Jessica,457 Robert Ways Apt. 530,West Ebony,NE,989,(732)269-9272,andersoncassandra@hotmail.com,m,6344 1393 7907 1359,420,2016/03/02,O+,60.1,187.5,Dust,None,Metformin,Dr. Lambert,St. Mary's Clinic,UnitedHealth
010-84-3145,f,1936-11-22,Nichols,Miller,Leah,263 Daniel Ridge Suite 031,Cookborough,WV,21114,(608)324-6728x85784,deniserobinson@petty.com,v,9511 3995 3956 9224,894,2023/12/11,B-,93.7,175.5,Pollen,Diabetes,Metformin,Dr. Flynn,City Medical Center,Blue Cross
485-65-8562,f,1985-02-16,Buckley,Sanders,Sean,3431 Kristy Causeway,South Jamesbury,VT,99423,001-815-067-6785x7184,wheelergerald@yahoo.com,a,8021 1553 7272 3188,926,2024/06/04,O-,69.2,155.2,None,Heart Disease,Lisinopril,Dr. Lee,City Medical Center,UnitedHealth
763-35-5576,f,1983-05-02,Hudson,Brown,Holly,7232 Alexis Orchard,New Robertland,NE,79537,846-747-5291x4835,blake69@gmail.com,a,1354 6576 4969 1528,693,2026/01/06,A+,84.1,192.9,None,Hypertension,Metformin,Dr. Rowland,City Medical Center,Aetna
096-42-4239,f,1995-06-08,Carlson,Washington,Melissa,4534 Stephen Freeway,Andrewsborough,MI,44464,212-509-0885x93732,qwheeler@yahoo.com,v,4896 8095 2731 9663,260,2025/07/01,B+,55.8,165.5,None,Asthma,Metformin,Dr. Nunez,City Medical Center,Medicare
387-92-0083,f,1951-11-23,Shaw,Woods,Jennifer,4830 Scott Fields Suite 415,Lake Jodiberg,MO,17955,909-344-2617,david82@yahoo.com,a,8678 2128 3049 6493,109,2021/07/29,AB+,82.2,198.6,Dairy,None,Metformin,Dr. Terry,General Hospital,Medicare
171-06-3480,f,1969-11-06,Mcknight,Fisher,Joseph,869 Smith Walks Apt. 099,Deanport,IA,8035,001-748-817-8147x36267,cameron13@gmail.com,m,4180 5970 8388 2029,640,2023/06/02,B+,71.5,155.9,Pollen,Hypertension,Ibuprofen,Dr. Thornton,St. Mary's Clinic,None
676-09-3727,m,1968-09-15,Johnson,Williams,Ruth,835 Walters Courts,Jackton,IL,11491,+1-121-259-5353x241,sperry@blanchard.biz,a,8770 2163 9827 7341,678,2020/03/10,O+,107.6,197.9,None,Asthma,Metformin,Dr. Mcdonald,St. Mary's Clinic,Aetna
679-88-6214,f,1952-01-24,Francis,Rich,Jenna,4992 Nicole Overpass,Pittsberg,DE,59096,887-517-2690,matthewobrien@yahoo.com,m,3390 9393 8208 2862,203,2025/03/24,AB+,54.0,154.6,Gluten,Diabetes,Lisinopril,Dr. Frederick,City Medical Center,Aetna
881-65-0524,m,1980-02-10,Jordan,Williamson,David,4550 Kemp Walk,Lake Brentmouth,NH,99560,199-180-8121,eric47@jimenez.com,m,6878 5273 6849 3598,278,2029/03/25,A+,79.3,161.6,Gluten,Hypertension,Ibuprofen,Dr. Reyes,St. Mary's Clinic,None
571-03-8050,f,1948-12-21,Clements,Garrett,Tammy,3087 Shepherd Springs Apt. 867,East Nicole,AL,77207,001-847-135-4001x434,fdixon@hotmail.com,m,4224 1997 6246 2515,185,2022/01/31,O+,82.1,152.3,None,Asthma,Metformin,Dr. Johnson,General Hospital,None
027-89-6505,f,1984-05-03,Vazquez,Rodgers,Jason,09637 Phillips Trafficway,New Kathleenburgh,NY,47442,(204)330-0623,anthony47@taylor.com,v,1491 8881 6132 4008,839,2021/11/12,A-,100.8,185.3,Dust,None,None,Dr. Jones,City Medical Center,Medicare
218-04-4322,m,1937-09-09,Cobb,Allison,Aaron,7554 Reed Valleys,Ballardland,IL,69838,(511)723-0358,wellssusan@frye-jennings.com,a,5735 6174 4506 4171,370,2030/01/24,B-,90.2,192.5,None,Asthma,Lisinopril,Dr. Daniels,St. Mary's Clinic,Aetna
792-64-0780,m,1978-09-14,Barrera,Shaw,Brittney,32422 Evelyn Spring Suite 967,Thomasville,AR,43314,854.630.6284x8639,hendersoncharlene@gmail.com,v,6191 3961 2572 3990,904,2015/05/01,A+,96.7,171.7,Gluten,Heart Disease,None,Dr. Lucero,St. Mary's Clinic,UnitedHealth
277-42-7189,m,1987-02-27,Reynolds,Smith,Michael,3354 Benjamin Unions,South Pamela,DE,85983,+1-492-835-5826x36071,kmcmahon@smith-harris.com,m,9823 8495 1925 5686,779,2024/06/17,B-,104.4,196.4,None,None,Lisinopril,Dr. Johnson,City Medical Center,UnitedHealth
282-43-1735,f,1937-03-29,West,Jones,Robin,333 Sherri Plain,Rayhaven,CT,30459,+1-103-035-8338x080,tina63@gmail.com,m,3696 1320 3339 2029,845,2019/04/20,AB-,110.4,179.5,Shellfish,Hypertension,None,Dr. King,General Hospital,Medicare
883-30-4896,m,1989-09-11,Lynch,Sims,Kendra,4570 Pena Fords,North Larryhaven,NC,56352,416-323-9999x86359,jallen@montgomery.com,a,2716 8106 4927 3067,269,2028/10/04,A-,72.0,181.5,Pollen,Arthritis,Metformin,Dr. Williams,City Medical Center,UnitedHealth
144-21-2989,m,1955-12-11,Werner,Solomon,Arthur,23420 Jeremy Views Suite 384,Samanthaborough,AZ,7622,(156)383-6669,richardmorgan@yahoo.com,m,6562 9648 9095 9045,845,2020/11/04,A-,87.7,192.3,Shellfish,Diabetes,None,Dr. Larsen,City Medical Center,UnitedHealth
214-26-8596,m,1996-11-12,Hanson,Navarro,David,94044 Wilkerson Land Apt. 175,West Robertfurt,WY,42868,990.658.6972x23242,john06@vaughn.com,m,1693 1717 6656 6891,600,2027/04/01,A+,108.8,164.8,Dairy,None,None,Dr. Robertson,St. Mary's Clinic,Aetna
136-92-0659,m,1968-03-03,Mcgee,Simon,Gabriella,41903 Maria Bridge,Rodriguezborough,FL,19766,001-155-668-4732x3653,rburns@williams-smith.info,a,5144 3100 4020 2965,787,2019/05/18,A-,119.3,167.7,Dust,None,Lisinopril,Dr. Davis,St. Mary's Clinic,Aetna
638-88-0609,f,1976-05-11,Lawson,Parker,John,580 Kristina Lock Apt. 836,Tonyburgh,MN,43126,001-817-083-3514x24496,emilyjohnson@gmail.com,v,3131 8824 1378 7654,995,2024/11/08,AB+,112.3,195.3,Shellfish,None,Metformin,Dr. Little,City Medical Center,Blue Cross
721-85-9431,m,1953-06-09,Cook,Holland,Vanessa,6366 Wayne Court,South Lisachester,IL,83983,955-394-5069x89582,zyoung@gmail.com,v,7705 5050 9392 6930,624,2021/10/23,A-,76.0,195.0,Dairy,Asthma,Lisinopril,Dr. Cole,City Medical Center,Aetna
446-89-6108,f,1983-12-03,Blackwell,Gibson,Timothy,048 Justin Mountain Apt. 400,Robinsonland,OK,65912,7098254029,sturner@thornton.com,a,7914 4639 9142 4523,433,2019/04/18,B-,63.7,198.8,Peanuts,Heart Disease,Metformin,Dr. Hamilton,St. Mary's Clinic,Blue Cross
536-60-1749,f,1979-03-31,Rodriguez,Barker,Karen,22512 Carter Route,Lake Madisonland,MS,91559,+1-200-755-1665x338,nina40@taylor.com,a,1076 6591 6395 5978,860,2019/03/10,B-,84.3,195.1,Pollen,Arthritis,Aspirin,Dr. Johnson,City Medical Center,Aetna
117-43-7240,f,1976-04-18,Gregory,Morrison,Margaret,087 Fernandez Plains Suite 985,North Tyrone,GA,33122,642-296-1770x309,kingkatherine@palmer.info,v,6262 2042 9630 3179,301,2020/01/07,O+,101.9,156.4,None,Diabetes,Ibuprofen,Dr. Noble,General Hospital,None
585-57-8305,f,1993-09-17,Randolph,Ryan,Bryan,8067 Kennedy Course,Port Jacob,CO,39764,+1-611-287-9429x688,zbarber@harding.com,v,8393 6833 9551 9407,855,2019/02/10,B-,84.5,191.2,Shellfish,Diabetes,Ibuprofen,Dr. Young,City Medical Center,Aetna
189-83-4147,f,2005-03-06,Becker,Golden,Rachel,04242 Lewis Ranch,New Christopherberg,NH,48241,028.497.6039,wsmith@yahoo.com,v,5412 4577 6342 7250,745,2026/03/21,O+,83.8,170.5,Shellfish,Heart Disease,Lisinopril,Dr. Powell,General Hospital,Blue Cross
896-33-8865,m,1978-08-19,Lloyd,Hamilton,David,96945 Michael Skyway Apt. 613,Port Kellyhaven,RI,58155,001-195-514-6230x137,earlmcdonald@wood-anderson.biz,v,5340 8217 9492 9430,232,2020/05/02,B-,108.7,199.5,None,Asthma,Metformin,Dr. Bennett,City Medical Center,UnitedHealth
495-68-9451,f,1959-03-28,Melendez,Smith,John,46807 Harding Expressway Suite 930,New Denise,WI,11640,(553)904-3069,pagebreanna@carter.com,m,5739 9922 4395 9177,938,2015/06/05,AB+,75.3,173.6,None,Asthma,None,Dr. Castaneda,City Medical Center,Aetna
440-35-8583,m,1969-12-07,Joseph,Ray,Chris,507 Michael Glens Apt. 913,North Micheletown,AZ,62336,(622)086-3536x541,shawrachel@gmail.com,a,3079 5403 2934 1480,443,2028/11/16,O-,110.2,177.7,Dust,Heart Disease,Ibuprofen,Dr. Banks,City Medical Center,UnitedHealth
445-51-5109,m,1994-05-31,Baldwin,Hill,Gloria,2299 Chavez Circles,Williamshaven,GA,12963,813-548-2363,wolfrichard@wilkinson.net,m,6393 1979 6664 4409,926,2027/07/27,O+,78.5,176.5,Shellfish,Heart Disease,Lisinopril,Dr. Henry,St. Mary's Clinic,UnitedHealth
490-69-4237,m,2006-03-12,Mahoney,Cox,Steven,321 Jackson Prairie Apt. 657,Port Nancy,KS,34284,+1-380-774-4214x95047,asantiago@yahoo.com,a,6970 7460 8977 3189,817,2023/12/23,B+,73.0,166.1,Shellfish,Hypertension,Lisinopril,Dr. Mayer,St. Mary's Clinic,Aetna
216-25-3945,f,1978-02-16,Duncan,Young,Ashley,218 Jessica Hills,North Oliviaburgh,OK,35366,(584)872-0572,jstein@gmail.com,a,5225 8046 3766 7684,893,2022/08/03,AB-,81.8,153.8,Gluten,Asthma,Lisinopril,Dr. Rivera,St. Mary's Clinic,Aetna
839-35-2602,m,1977-03-01,Jones,Browning,Dennis,09128 Timothy Island Suite 539,South Ronald,SC,61730,264.266.7730,sandra35@taylor.com,v,2256 9052 4504 7877,613,2022/04/20,A+,103.4,194.8,Peanuts,None,Metformin,Dr. Cole,St. Mary's Clinic,None
125-06-1917,m,1959-05-05,Hall,Small,Allen,6610 William Roads Suite 610,Port Kennethstad,WY,12682,038-453-1980x7468,leslieortiz@stewart.com,a,9471 9432 1808 4474,271,2017/08/16,B-,58.8,190.1,Gluten,Diabetes,Lisinopril,Dr. Pena,St. Mary's Clinic,Blue Cross
692-99-1224,f,1979-11-27,Travis,Fitzgerald,Christine,677 Keith Spur,Lake Veronica,TX,86303,147.949.9209x7788,karen10@bowman-cooper.com,a,2822 2984 9415 5282,959,2020/06/11,A-,63.7,157.0,Dairy,Asthma,Aspirin,Dr. Smith,St. Mary's Clinic,Aetna
327-17-0781,m,1956-01-11,Gallagher,Larson,James,6080 Pamela Cliffs,South Thomas,KS,18482,927-100-0202,graydiana@hotmail.com,a,4149 8792 6743 2911,157,2026/06/11,O-,116.6,188.8,Peanuts,Heart Disease,None,Dr. Rhodes,City Medical Center,UnitedHealth
